## Correctness (213)
Code that is outright wrong or useless.
| Rule name                                           | Source     | Default | Enabled? | Fixable? |
| --------------------------------------------------- | ---------- | ------- | -------- | -------- |
| constructor-super                                   | eslint     | ✅      | ✅       |          |
| for-direction                                       | eslint     | ✅      | ✅       | ⚠️🛠️️       |
| no-async-promise-executor                           | eslint     | ✅      | ✅       |          |
| no-caller                                           | eslint     | ✅      | ✅       |          |
| no-class-assign                                     | eslint     | ✅      | ✅       |          |
| no-compare-neg-zero                                 | eslint     | ✅      | ✅       | 🛠️💡      |
| no-cond-assign                                      | eslint     | ✅      | ✅       |          |
| no-const-assign                                     | eslint     | ✅      | ✅       |          |
| no-constant-binary-expression                       | eslint     | ✅      | ✅       |          |
| no-constant-condition                               | eslint     | ✅      | ✅       |          |
| no-control-regex                                    | eslint     | ✅      | ✅       |          |
| no-debugger                                         | eslint     | ✅      | ✅       | 🛠️        |
| no-delete-var                                       | eslint     | ✅      | ✅       |          |
| no-dupe-class-members                               | eslint     | ✅      | ✅       |          |
| no-dupe-else-if                                     | eslint     | ✅      | ✅       |          |
| no-dupe-keys                                        | eslint     | ✅      | ✅       |          |
| no-duplicate-case                                   | eslint     | ✅      | ✅       |          |
| no-empty-character-class                            | eslint     | ✅      | ✅       |          |
| no-empty-pattern                                    | eslint     | ✅      | ✅       |          |
| no-empty-static-block                               | eslint     | ✅      | ✅       | 💡       |
| no-eval                                             | eslint     | ✅      | ✅       |          |
| no-ex-assign                                        | eslint     | ✅      | ✅       |          |
| no-extra-boolean-cast                               | eslint     | ✅      | ✅       | 🛠️💡      |
| no-func-assign                                      | eslint     | ✅      | ✅       |          |
| no-global-assign                                    | eslint     | ✅      | ✅       |          |
| no-import-assign                                    | eslint     | ✅      | ✅       |          |
| no-invalid-regexp                                   | eslint     | ✅      | ✅       |          |
| no-irregular-whitespace                             | eslint     | ✅      | ✅       |          |
| no-iterator                                         | eslint     | ✅      | ✅       | 💡       |
| no-loss-of-precision                                | eslint     | ✅      | ✅       |          |
| no-misleading-character-class                       | eslint     | ✅      | ✅       | 🚧       |
| no-new-native-nonconstructor                        | eslint     | ✅      | ✅       |          |
| no-nonoctal-decimal-escape                          | eslint     | ✅      | ✅       | 💡       |
| no-obj-calls                                        | eslint     | ✅      | ✅       |          |
| no-self-assign                                      | eslint     | ✅      | ✅       |          |
| no-setter-return                                    | eslint     | ✅      | ✅       |          |
| no-shadow-restricted-names                          | eslint     | ✅      | ✅       |          |
| no-sparse-arrays                                    | eslint     | ✅      | ✅       |          |
| no-this-before-super                                | eslint     | ✅      | ✅       |          |
| no-unassigned-vars                                  | eslint     | ✅      | ✅       |          |
| no-unsafe-finally                                   | eslint     | ✅      | ✅       |          |
| no-unsafe-negation                                  | eslint     | ✅      | ✅       | 🛠️        |
| no-unsafe-optional-chaining                         | eslint     | ✅      | ✅       |          |
| no-unused-expressions                               | eslint     | ✅      | ✅       |          |
| no-unused-labels                                    | eslint     | ✅      | ✅       | 🛠️        |
| no-unused-private-class-members                     | eslint     | ✅      | ✅       |          |
| no-unused-vars                                      | eslint     | ✅      | ✅       | ⚠️🛠️️💡     |
| no-useless-backreference                            | eslint     | ✅      | ✅       |          |
| no-useless-catch                                    | eslint     | ✅      | ✅       |          |
| no-useless-escape                                   | eslint     | ✅      | ✅       | 🛠️        |
| no-useless-rename                                   | eslint     | ✅      | ✅       | 🛠️        |
| no-with                                             | eslint     | ✅      | ✅       |          |
| require-yield                                       | eslint     | ✅      | ✅       |          |
| use-isnan                                           | eslint     | ✅      | ✅       | 🛠️        |
| valid-typeof                                        | eslint     | ✅      | ✅       | 🛠️        |
| default                                             | import     |         |          |          |
| namespace                                           | import     |         |          |          |
| expect-expect                                       | jest       |         |          |          |
| no-conditional-expect                               | jest       |         |          |          |
| no-disabled-tests                                   | jest       |         |          |          |
| no-export                                           | jest       |         |          |          |
| no-focused-tests                                    | jest       |         |          | 🛠️        |
| no-standalone-expect                                | jest       |         |          |          |
| require-to-throw-message                            | jest       |         |          |          |
| valid-describe-callback                             | jest       |         |          |          |
| valid-expect                                        | jest       |         |          | 🚧       |
| valid-title                                         | jest       |         |          | 🛠️        |
| check-property-names                                | jsdoc      |         |          | 🚧       |
| check-tag-names                                     | jsdoc      |         |          | 🚧       |
| implements-on-classes                               | jsdoc      |         |          |          |
| no-defaults                                         | jsdoc      |         |          | 🚧       |
| require-property                                    | jsdoc      |         |          | 🚧       |
| require-property-description                        | jsdoc      |         |          |          |
| require-property-name                               | jsdoc      |         |          |          |
| require-property-type                               | jsdoc      |         |          |          |
| require-yields                                      | jsdoc      |         |          |          |
| alt-text                                            | jsx_a11y   |         |          |          |
| anchor-has-content                                  | jsx_a11y   |         |          | 💡       |
| anchor-is-valid                                     | jsx_a11y   |         |          |          |
| aria-activedescendant-has-tabindex                  | jsx_a11y   |         |          |          |
| aria-props                                          | jsx_a11y   |         |          | 🛠️        |
| aria-proptypes                                      | jsx_a11y   |         |          |          |
| aria-role                                           | jsx_a11y   |         |          |          |
| aria-unsupported-elements                           | jsx_a11y   |         |          | 🛠️        |
| autocomplete-valid                                  | jsx_a11y   |         |          |          |
| click-events-have-key-events                        | jsx_a11y   |         |          |          |
| heading-has-content                                 | jsx_a11y   |         |          |          |
| html-has-lang                                       | jsx_a11y   |         |          |          |
| iframe-has-title                                    | jsx_a11y   |         |          |          |
| img-redundant-alt                                   | jsx_a11y   |         |          |          |
| label-has-associated-control                        | jsx_a11y   |         |          |          |
| lang                                                | jsx_a11y   |         |          |          |
| media-has-caption                                   | jsx_a11y   |         |          |          |
| mouse-events-have-key-events                        | jsx_a11y   |         |          |          |
| no-access-key                                       | jsx_a11y   |         |          | 💡       |
| no-aria-hidden-on-focusable                         | jsx_a11y   |         |          | 🛠️        |
| no-autofocus                                        | jsx_a11y   |         |          | 💡       |
| no-distracting-elements                             | jsx_a11y   |         |          |          |
| no-noninteractive-tabindex                          | jsx_a11y   |         |          |          |
| no-redundant-roles                                  | jsx_a11y   |         |          | 🛠️        |
| no-static-element-interactions                      | jsx_a11y   |         |          |          |
| prefer-tag-over-role                                | jsx_a11y   |         |          |          |
| role-has-required-aria-props                        | jsx_a11y   |         |          |          |
| role-supports-aria-props                            | jsx_a11y   |         |          |          |
| scope                                               | jsx_a11y   |         |          | 🛠️        |
| tabindex-no-positive                                | jsx_a11y   |         |          | ⚠️💡      |
| google-font-display                                 | nextjs     |         |          |          |
| google-font-preconnect                              | nextjs     |         |          |          |
| inline-script-id                                    | nextjs     |         |          |          |
| next-script-for-ga                                  | nextjs     |         |          |          |
| no-assign-module-variable                           | nextjs     |         |          |          |
| no-async-client-component                           | nextjs     |         |          |          |
| no-before-interactive-script-outside-document       | nextjs     |         |          |          |
| no-css-tags                                         | nextjs     |         |          |          |
| no-document-import-in-page                          | nextjs     |         |          |          |
| no-duplicate-head                                   | nextjs     |         |          |          |
| no-head-element                                     | nextjs     |         |          |          |
| no-head-import-in-document                          | nextjs     |         |          |          |
| no-html-link-for-pages                              | nextjs     |         |          |          |
| no-img-element                                      | nextjs     |         |          | 🚧       |
| no-page-custom-font                                 | nextjs     |         |          |          |
| no-script-component-in-head                         | nextjs     |         |          |          |
| no-styled-jsx-in-document                           | nextjs     |         |          |          |
| no-sync-scripts                                     | nextjs     |         |          |          |
| no-title-in-document-head                           | nextjs     |         |          |          |
| no-typos                                            | nextjs     |         |          | 🚧       |
| no-unwanted-polyfillio                              | nextjs     |         |          |          |
| bad-array-method-on-arguments                       | oxc        | ✅      |          |          |
| bad-char-at-comparison                              | oxc        | ✅      |          |          |
| bad-comparison-sequence                             | oxc        | ✅      |          |          |
| bad-min-max-func                                    | oxc        | ✅      |          |          |
| bad-object-literal-comparison                       | oxc        | ✅      |          |          |
| bad-replace-all-arg                                 | oxc        | ✅      |          |          |
| const-comparisons                                   | oxc        | ✅      |          |          |
| double-comparisons                                  | oxc        | ✅      |          | 🛠️        |
| erasing-op                                          | oxc        | ✅      |          | ⚠️🛠️️       |
| missing-throw                                       | oxc        | ✅      |          | 💡       |
| number-arg-out-of-range                             | oxc        | ✅      |          |          |
| only-used-in-recursion                              | oxc        | ✅      |          | ⚠️🛠️️       |
| uninvoked-array-callback                            | oxc        | ✅      |          |          |
| no-callback-in-promise                              | promise    |         |          |          |
| no-new-statics                                      | promise    |         |          | 🛠️        |
| valid-params                                        | promise    |         |          |          |
| exhaustive-deps                                     | react      |         |          | ⚠️🛠️️💡     |
| forward-ref-uses-ref                                | react      |         | ✅       | 💡       |
| jsx-key                                             | react      |         | ✅       |          |
| jsx-no-duplicate-props                              | react      |         | ✅       |          |
| jsx-no-undef                                        | react      |         | ✅       |          |
| jsx-props-no-spread-multi                           | react      |         | ✅       | 🛠️        |
| no-children-prop                                    | react      |         | ✅       |          |
| no-danger-with-children                             | react      |         | ✅       |          |
| no-did-mount-set-state                              | react      |         | ✅       |          |
| no-direct-mutation-state                            | react      |         | ✅       |          |
| no-find-dom-node                                    | react      |         | ✅       |          |
| no-is-mounted                                       | react      |         | ✅       |          |
| no-render-return-value                              | react      |         | ✅       |          |
| no-string-refs                                      | react      |         | ✅       |          |
| no-this-in-sfc                                      | react      |         | ✅       |          |
| no-unsafe                                           | react      |         | ✅       |          |
| no-will-update-set-state                            | react      |         | ✅       |          |
| void-dom-elements-no-children                       | react      |         | ✅       |          |
| await-thenable                                      | typescript | ✅      | ✅       | 💡       |
| no-array-delete                                     | typescript | ✅      | ✅       | 💡       |
| no-base-to-string                                   | typescript | ✅      | ✅       |          |
| no-duplicate-enum-values                            | typescript | ✅      | ✅       |          |
| no-duplicate-type-constituents                      | typescript | ✅      | ✅       | 🛠️        |
| no-extra-non-null-assertion                         | typescript | ✅      | ✅       | 🚧       |
| no-floating-promises                                | typescript | ✅      | ✅       | 💡       |
| no-for-in-array                                     | typescript | ✅      | ✅       |          |
| no-implied-eval                                     | typescript | ✅      | ✅       |          |
| no-meaningless-void-operator                        | typescript | ✅      | ✅       | 🛠️💡      |
| no-misused-new                                      | typescript | ✅      | ✅       |          |
| no-misused-spread                                   | typescript | ✅      | ✅       | 💡       |
| no-non-null-asserted-optional-chain                 | typescript | ✅      | ✅       | 💡       |
| no-redundant-type-constituents                      | typescript | ✅      | ✅       |          |
| no-this-alias                                       | typescript | ✅      | ✅       |          |
| no-unnecessary-parameter-property-assignment        | typescript | ✅      | ✅       | 💡       |
| no-unsafe-declaration-merging                       | typescript | ✅      | ✅       |          |
| no-unsafe-unary-minus                               | typescript | ✅      | ✅       |          |
| no-useless-empty-export                             | typescript | ✅      | ✅       | 🛠️        |
| no-wrapper-object-types                             | typescript | ✅      | ✅       | 🛠️        |
| prefer-as-const                                     | typescript | ✅      | ✅       | 🛠️        |
| prefer-namespace-keyword                            | typescript | ✅      | ✅       | 🛠️        |
| require-array-sort-compare                          | typescript | ✅      | ✅       |          |
| restrict-template-expressions                       | typescript | ✅      | ✅       |          |
| triple-slash-reference                              | typescript | ✅      | ✅       |          |
| unbound-method                                      | typescript | ✅      | ✅       |          |
